feature,importance_mean,importance_std,method,tree_importance
PPE,1.3813410631418854,0.06412646491802716,permutation_importance_neg_mae,0.038969497770577115
Jitter(Abs),1.2943828227788863,0.03259103659676858,permutation_importance_neg_mae,0.11026258540561384
DFA,0.44455774587418306,0.04898115731229454,permutation_importance_neg_mae,0.021710407799984663
RPDE,0.3903240907400992,0.04658211294730707,permutation_importance_neg_mae,0.03338515386027726
HNR,0.2677198299978237,0.03004567543265037,permutation_importance_neg_mae,0.028836460515883268
Shimmer:APQ11,0.16812483452167512,0.01621222000183887,permutation_importance_neg_mae,0.017474556514586653
Jitter:DDP,0.034795301343380915,0.020221275110886668,permutation_importance_neg_mae,0.027805064041673076
Jitter:RAP,0.031098603634588783,0.013823603638051208,permutation_importance_neg_mae,0.027082266945157613
Jitter:PPQ5,0.01915600374111879,0.010520962030755521,permutation_importance_neg_mae,0.027831742960826134
Shimmer:APQ5,-0.004244068145434987,0.0068577937282103705,permutation_importance_neg_mae,0.05194692578965793
Shimmer(dB),-0.022199248381144798,0.003760974011744699,permutation_importance_neg_mae,0.029370071986672786
Shimmer,-0.030586543011693123,0.009365392789469686,permutation_importance_neg_mae,0.06042191088352334
Shimmer:APQ3,-0.039883383799404905,0.02241224240664,permutation_importance_neg_mae,0.13397567791940831
Shimmer:DDA,-0.048643100895979785,0.02496078678951647,permutation_importance_neg_mae,0.0834201518684783
Jitter(%),-0.12029516653402794,0.03296441733692513,permutation_importance_neg_mae,0.19999338540040706
NHR,-0.18816078492010302,0.025276522565279708,permutation_importance_neg_mae,0.10751414033727259
